name,rasa,virya,vipaka,aggravates_dosha,pacifies_dosha,region,season
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),rasa,tikta (bitter),ushna (heating),vata,pitta,stomach,all seasons
Peanut cutlet (Mungfali ke cutlet),,,,,,,
Fish cutlet (Machli ka cutlet),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,Mamsam,All Season
Paneer potato cutlet (Paneer aloo cutlet),,,,,,,
Spinach chickpeas cutlet (Palak channa dal cutlet),,,,,,,
Cheese toast,rasa,Tikta,Usna,Vata,Kapha,Meda,Rtu-Sarad
Vegetable burger,,,,,,,
Cheese pizza,,,,,,,
Vegetable seekh kebab,,,,,,,
Masala vada,rasa,tikta,madhura,vatakapha,pitta,uradaya,varsha
Peanut sago vada (Sabudana mungfali vada),,,,,,,
Vegeterian scotch egg,rasa,tikta,katu,Vata+Pitta++Kapha-,Pitta-Vata--Kapha+,Meat (substitute),Autumn
Paneer shaslik/tikka,rasa,tikta,katu,Vata+Pitta++Kapha-,Pitta-,Throat,Summer
Peanut brittle (Moongfali ki chikki),Sweet,Hot,Sweet,Vata&Pitta,Kapha,Digestive,Winter
Spring roll,rasa,Astringent,cooling,Vata,Pitta,Oral cavity,Spring
Dry mango chutney (Sookhe aam ki chutney),rasa,Katu,Amla,Aggravates_Vata,Pacifies_Kapha,Digestive,Summer
Peanut chutney (Mungfali ki chutney),,,,,,,
Coconut chutney (Nariyal ki chutney),,,,,,,
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),,,,,,,
Custard tart,sweet,heating,sweet,Vata&Kapha,Pitta,digestive,autumn-winter
Lemon tart,sweet,pungent,astringent,Pitta,Kapha,Digestive,Summer
Jam tart,sweet,heating,sweet,Vata&Kapha,Pitta,head & chest,autumn
Orange cream tart,Sweet,heating,sweet,Vata & Pitta,Balances Kapha,Digestive,Summer
Pineapple tart,sweet,heating,sour,aggravates_ Pitta,pacifies_ Kapha,digestive,summer
Cheese and mushroom tart,rasa: Madhura (sweet),virya: Sheeta (cold),vipaka: Katu (pungent),aggravates_dosha: Kapha,pacifies_dosha: Vata,region: Kandara (stomach),season: Hemsantati (winter)
Cottage cheese pie,sweet,cooling,sweet,Vata & Kapha,Pitta,Digestive & Upper body,Spring
Minced meat pie,rasa,Rajasic,Vipak-Madhura,Aggravates-Pitta,Pacifies-Vata,Throat,Winter
Apple cinnamon pie,sweet,heating,sweet,aggravates-Vata,pacifies-Kapha,digestive,autumn
Lemon meringue pie,,,,,,,
Chocolate meringue pie,sweet,heating,sweet,Vata+Pitta++Kapha-,Pitta+Kapha++Vata-,Throat,Winter
Cream puffs,sweet,heavy,sweet,Vata+Pitta++Kapha-,Pitta-,Throat,Spring-Summer
Chocolate eclairs,sweet,heating,sweet,Kapha,Pitta,Heart,Winter
Cheese balls,,,,,,,
Minced meat patties,rasa,Tikta,Ushna,Rakta,Pitta,Mamsam,All Seasons
Cheese patties,,,,,,,
Hot cheese souffle,rasa,Tikta,Ushna,Vata,Kapha,Urdhvaanga,Winter
Hot potato souffle,rasa,Tikta,Ushna,Vata,Pitta,Mridu,Rtu-Grishma
Hot fish souffle,rasa,Tikta,Ushna,Aggravates_Vata,Pacifies_Kapha,Head,Winter
Hot spinach souffle,,,,,,,
Plain cream cake,sweet,heavy,madhur,Kapha++,Vata--,Sthana (Stomach),Winter
Apple cake (Seb ka cake),,,,,,,
Marble cake,sweet,tikta,madhur,Vata,Kapha,Throat,Winter
Chocolate cake,sweet,heating,sweet,Kapha,Pitta,Sweet,All seasons
Orange cake,Sweet,heating,sweet,Vata & Pitta,Kapha,Sweet,Summer
Fruit Loaf ,,,,,,,
Banana cake (Kele ka cake),sweet,heating,sweet,increases Kapha,reduces Vata,Sweet,Warm seasons
Chocolate chiffon cake,sweet,heating,sweet,Kapha,Pitta,Sweet,All Seasons
Christmas cake,Sweet,heavy,sour,Vata+Pitta+Kapha-,Kapha+,Throat,Winter
Strawberry and vanilla cake with butter icing,,,,,,,
Eggless cake,sweet,heating,sweet,Vata&Kapha+,Pitta-,Throat,Winter
Swiss roll,sweet,heating,sweet,Vata & Kapha,Pitta,Sweet,Winter & Spring
Pineapple pastry ,sweet,heating,sour,aggravates-Kapha,pacifies-Vata,Digestive,Warm season
Black forest pastry,rasa,Tikta,Viruddh,Kapha,Pitta,Mrigavarta,Winter
Coconut finger,sweet,heating,sweet,aggravates Kapha,pacifies Vata and Pitta,fingers,year-round
Pineapple cake ,sweet,heating,sour,aggravates_ Pitta,pacifies_ Kapha,digestive,summer
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),Sweet,Heating,Sweet,Vata & Pitta,Kapha,Digestive,Winter
Chocolate chip cookies,Sweet,Tikta,Madhura,Vata,Kapha,Prakriti,Winter
Sweet plain biscuit,sweet,sushedana,madhura,Vata+Pitta++,Kapha-,Throat,Winter
Chocolate biscuit,,,,,,,
Coconut biscuit (Nariyal ke biscuit),sweet,heating,sweet,Vata & Pitta,Kapha,Digestive system,Winter
Sweet and salty biscuit (Meethay aur namkeen biscuit),rasa,madhura,sanla,aggravates_kapha,pacifies_vata,abdomen,all_seasons
Peanut biscuit,,,,,,,
Pin wheel biscuit,,,,,,,
Saffron biscuit (Kesar biscuit),rasa,Tikta,Vipak,Ruksha,Pitta,Atisthana,Winter
Masala biscuit,Rasa: Madhura (Sweet),Virya: Sheeta (Cooling),Vipaka: Madhura (Undergoes sweet transformation),aggravates_dosha: Kapha,pacifies_dosha: Vata,region: All,season: Winter
Ice box cookies,Sweet,Cooling,Sweet,Vata+Pitta++,Kapha-,Throat,Winter
Ginger bread man,rasa,Tikta (Bitter),Katu (Pungent),Aggravates_Kapha,Pacifies_Vata,Abdomen,Winter
Danish cookies,sweets,susukumaana,madhura,Vata+Pitta++,Kapha-,Central Nervous System,Winter
Short bread cookies,sweet,heating,sweet,Vata&Pitta+,Kapha-,Digestive system,Winter
Coffee biscuit,,,,,,,
Melting moments,,,,,,,
Ginger biscuit (Adarak ke biscuit),rasa,Tikta,Viryahot,Aggravates_Kapha,Pacifies_Vata,Zatuar,All_Seasons
Soyabean muthias,rasa,katu,madhur,Vata,Pitta,Abdomen,Summer
Soyabean tikki,rasa,Katu,Vipak,Vata,Kapha,Agni,Grishma
Soyabean namak paras,,,,,,,
Peanut burfi (Moongfali ki burfi),rasa,Tikta,Viruddh,aggravates_kapha,pacifies_vata,Urdhvareta,Autumn
Spinach peanut namak paras (Palak moongfali namak paras),,,,,,,
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),,,,,,,
Rice moong dal cheela (Chawal aur moong dal ka cheela),,,,,,,
Split bengal gram sweet rice (Channa dal sweet rice),,,,,,,
Sweet poori (Meethi poori),rasa,Sweet,heating,Vata,Pitta,Digestive system,All seasons
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),,,,,,,
Spinach burfi (Palak burfi),,,,,,,
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),rasa,Sweet,heating,Vata,Pitta,Digestive,Cold
Sprouted moong daliya ,Sweet,Cooling,Sweet,Vata & Pitta,Kapha,Abdomen,Spring
Sprouted moong poha ,Sweet,Cooling,Sweet,Vata & Pitta,Kapha,Digestive Tract,Summer
Pearl millet ladoo (Bajra ladoo),rasa,tikta,madhura,aggravates_vata,pacifies_kapha,head,summer
Paushtik ladoo,,,,,,,
Paushtik roti,Sweet,heating,sweet,Vata & Pitta,Kapha,Abdomen,Winter
Semolina carrot vada (Suji gajar vada),rasa,tikta,katu,Vata+Pitta+Kapha-,Pitta-,Urdhvaanga,Winter
Dhokla,,,,,,,
Kashmiri tea (Kehwa),Rasa: Amla,Virya: Sheeta (Cold),Vipaka: Katu (Pungent),Aggravates_Dosha: Kapha,Pacifies_Dosha: Pitta,Region: North (Kashmir),Season: Winter
Steeped hot coffee,rasa,Tikta,Ushna,Vata,Pitta,Urdhvaanga,All Season
Hot chocolate,Sweet,heating,sweet,Vata&Pitta,Kapha,Heart & Lungs,Winter
Cold coffee (with cream),,,,,,,
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),sweet,cooling,sweet,increases Kapha,decreases Pitta,digestive,summer
Flavoured milkshake,sweet,heating,sweet,Vata&Kapha,Pitta,Sweet,All seasons
Jal jeera,,,,,,,
Gingo,Gingo,Astringent,Cooling,Pitta,Kapha,Heart,Fall
Mintade,Rasa: Katu (Pungent),Virya: Shita (Cold),Vipaka: Katu (Pungent),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Urdhvaanga (Upper part of the body including head and neck),season: Sharad Ritu (Autumn)
Canjee,Sweet,heating,sweet,aggravates Vata and Pitta,pacifies Kapha,Digestive tract,Summer
Cauliflower canjee (Phoolgobhi ki canjee),rasa,tikta,madhura,vata,kapha,antarang,sharad-hemant
Potato canjee (Aloo canjee),sweet,heating,sweet,vata&kapha,pitta,root,winter
Vermicelli porridge (Semiya/Seviyan porridge),,,,,,,
Semolina upma (Suji/Rava upma),,,,,,,
Vermicelli upma (Semiya/Seviyan upma),rasa,Katu,Vipak,Aggravates-Vata,Pacifies-Kapha,Head & Upper Abdomen,All Season
Rice upma,sweet,heating,sweet,vata+kapha++,pitta-,digestive,winter
Bread upma,sweet,heating,sweet,vata+pitta,kapha-,digestive system,winter
Vegetable upma,,,,,,,
Poha,sweet,heating,sweet,vata,pitta,digestive,summer
Vegetable poha,,,,,,,
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),,,,,,,
Paneer stuffed cheela/chilla,,,,,,,
Indian style egg bhujia (Anda bhujia (Indian style)),rasa,katu,madhura,Aggravates_Vata,Pacifies_Kapha,Digestive,Summer
French omelette/omlet,Rasa: Madhura (Sweet),Virya: Usna (Hot),Vipaka: Katu (Pungent),aggravates_dosha: Kapha,Pacifies_dosha: Vata,region: Stomach,season: Winter
Puffy omelette/omlet,pungent,hot,sweet,Vata,Pitta,Head,Spring/Summer
Orange omelette/omlet,,,,,,,
Cheese and mushroom omelette/omlet,,,,,,,
Spanish omelette/omlet,,,,,,,
Mixed stock,rasa,Katu (Pungent),Usna (Heating),Vata,Pitta,Balanced (All regions),All Seasons
Meat stock,meat stock,Rookshas (Dry),Amla (Sour-Pungent),Aggravates - Vata & Kapha,Pacifies - Pitta,Region - Abdomen,Season - Winter
White stock,sweet,heating,sweet,Pitta,Kapha,lung,winter
Meat consomme (with mutton),,,,,,,
Consomme au julienne,rasa,Astringent,Cooling,Pitta,Kapha,Mouth,Winter
Consomme au vermicelli,rasa,katu,madhura,Vata,Pitta,Head & Upper Body,Winter
Green pea soup (Matar ka soup),sweet,cooling,sweet,Vata & Kapha,Pitta,Digestive system,Winter
Spinach soup (Palak ka soup),rasa,Tikta,Katu,Kapha,Pitta,Medhralaya,All_Seasons
Mixed vegetable soup,,,,,,,
Cheese soup,sweet,heating,sweet,Kapha+,Pitta-,Lung,Winter
Mulligatawny soup,,,,,,,
Cream of carrot soup,sweet,cooling,sweet,vata&kapha,pitta,head,winter
Cream of broccoli soup,sweet,heating,sweet,Kapha,Pitta,Head,Winter
Cream of potato soup,sweet,cooling,sweet,Vata+Pitta++,Kapha-,Digestive,Winter
Almond soup (Badam ka soup),sweet,cooling,sweet,Vata,Pitta,Digestive,Winter
Cold cucumber cream soup ,rasa,katu,madhura,vata,kapha,all,summer
Cold tomato soup,Katu,Shita,Madhura,Vata,Kapha,Head,Summer
Chicken stew,,,,,,,
Veg paneer stew,sweet,cooling,sweet,Kapha,Pitta,digestive,Winter
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),,,,,,,
Methi parantha/paratha,Rasa: Tikta (Bitter),Virya: Shita (Cooling),Vipaka: Katu (Pungent),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Abhijaha (Stomach),season: Sharad-Hemant (Autumn-Winter)
Bathua poori,,,,,,,
Gram flour poori (Besan poori),,,,,,,
Beetroot poori (Chukandar ki poori),,,,,,,
Peas poori (Matar ki poori),,,,,,,
Peas kachori (Matar kachori),rasa,Madhura,Katu,Aggravates-Vata,Pacifies-Kapha,Abdomen,Summer
Pizza,rasa,tikta,madhura,kapha,pitta,ushna,rtu-varsha
Bacon and mushroom pancake,,,,,,,
Cheese and tomato pancake,,,,,,,
Minced meat pancake (with chicken),rasa,Tikta,Ushna,Rajas,Pitta,Mahasroto,Grishma
Eggplant/Brinjal rice (Vangi bhat),,,,,,,
Kashmiri 'tahar',rasa,Katu,Vipak,Pitta,Kapha,Ruksha,Autumn
Cumin pulao (Jeera/Zeera pulao),rasa,Tikta,Katu,Vaat,Pitta,Chardikey,Hot seasons
Peas pulao (Matar pulao),,,,,,,
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),,,,,,,
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),rasa,Tikta,Katu,Vata,Pitta,Krishna,Winter
Mutton pulao,,,,,,,
Chicken pulao,rasa,tikta,vipaka,madhura,kapha_vata,predominantly_abdomen,winter
Mexican rice,rasa,Katu,Vipak,Vata,Pitta,Majja,Summer
Plain khitchdi (Plain khichri/khichdi),,,,,,,
Instant idli (with semolina),rasa,tikta,vipaka,madhura,vatakaphapittajahara,head,summer
Plain dosa,,,,,,,
Masala dosa mixed vegetable fillings,,,,,,,
Masala dosa paneer fillings,,,,,,,
Uttapam,rasa,madhura,tikta,aggravates_kapha,pacifies_vata,abdomen,monsoon
Appam,sweet,heavy,sweet,increases Kapha,decreases Vata,stomach,cool season
Beans and macaroni,,,,,,,
Spaghetti bolognese,,,,,,,
Meat and macaroni casserole,Meat,Tikta(Bitter),Ushna(Hot),Vata+Pitta++Kapha-,Kapha++Vata+Pitta-,No specific region,Winter
Spaghetti with meat balls and tomato sauce,,,,,,,
Spaghetti with paneer balls and tomato sauce,rasa,tikta,katu,aggravates_kapha,pacifies_vata,stomach,winter
Lasagne with meat sauce,,,,,,,
Lasagne with vegetables,,,,,,,
Home made egg noodles,,,,,,,
Sour lentils (Khatti dal),Sour,Katu (Pungent),Katu (Pungent),Vata,Pitta,Abdomen,Winter
Urad special dehusked,,,,,,,
Arhar with spinach (Arhar dal aur palak),Sweet,cooling,sweet,Vata & Pitta,Balances Kapha,Legs,Winter
Moong dal with vadi,rasa,Katu,Vipak,Aggravates_Kapha,Pacifies_Vata,Digestive,Summer
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),,,,,,,
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),rasa,tikta (sour),usna (heating),Kapha,Pitta,Amashaya (stomach),All seasons
Green gram whole with baghar (Sabut moong dal with tadka),,,,,,,
Urad sabut special,,,,,,,
Kabuli channa curry,rasa,tikta,madhura,aggravates_vata,pacifies_kapha,uradaya,hot season
Besan gatte curry,,,,,,,
Dry masala chops,,,,,,,
Mutton korma,,,,,,,
Shahi keema kofta curry,,,,,,,
Minced meat ball curry,,,,,,,
Boti kebab,Katu,Usna,Madhur,Vaatakaphaprakopak,Pittatapacanam,Antarang,Sharad-Hemant
Mutton seekh kebab,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,Mesentery,Winter
Indian lamb and egg curry (Nargisi kofta),,,,,,,
Soya chunks sweet and sour (Nutrinugget sweet and sour),,,,,,,
Soya chunks korma (Nutrinugget korma),rasa,heating,vipaka-sweet,aggravates-kapha,pacifies- Pitta,legumes and chest,winter
Mushroom matar,rasa,tikta,katu,Vata,Kapha,Atisara,Sharad-Hemant
Soya chunks and peas (Nutrinugget matar),Soya chunks (Nutrinugget matar): sweet,cooling,sweet,Vata & Kapha,Pitta,Legumes,Winter/Spring
Vegetable yakhni,rasa,Madhura,Katyusha,Aggravates_Kapha,Pacifies_Vata,Stomach,Winter
Spinach mushroom (Palak mushroom),rasa,tikta,katu,Kapha,Pitta,Heart,Autumn
Vegetarian nargisi kofta curry,,,,,,,
Roast chicken,rasa,Tikta,Usna,Vata+Kapha++,Pitta-,Throat,Cold Seasons
Shahi chicken masala,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,marga,all_seasons
Tomato chicken,,,,,,,
Creamy chicken,Sweet,heating,sweet,Vata&Pitta,Kapha,Throat,Winter
Broccoli chicken ala king,,,,,,,
Ginger chicken,,,,,,,
Chicken sweet and sour,rasa,Amla,Katu,Aggravates_Kapha,Pacifies_Pitta,Kamarupa,All seasons
Chicken korma,sweet,heating,sweet,vata+pitta++kapha-,pitta-,meat,winter
Bengal fish curry (Bengali machli curry),,,,,,,
Fish finger,,,,,,,
Fish in coconut milk (Nariyal ke doodh ke saath machli),rasa,tikta,madhur,aggravates_kapha,pacifies_vata,majas,ritu (monsoon)
Prawn curry (with coconut) (Jhinga curry),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,coastal,warm
Baked stuffed fish,,,,,,,
Fish pie,rasa,tikta,vipakasara,rajas,kaphapacan,pradhana,all_seasons
Crispy baked fish,,,,,,,
Fish souffle,rasa,tikta,madhura,vatakaphaprakopak,kaphavataharni,prakriti,all_seasons
Potato curry (Aloo ki sabzi),rasa,madhura,katu,rajas,kapha,stomach,winter
Egg curry (Anda curry),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,stomach,summer
Vegetable curry with coconut ,,,,,,,
Curd with potatoes (Dahi aloo),Sweet,Cooling,Sweet,Vata & Pitta,Kapha,Stomach,Summer
Potato kofta curry (Aloo kofta curry),,,,,,,
Yam kofta curry (Zimikand/Suran kofta curry),,,,,,,
Jackfruit kofta curry (Kathal ka kofta curry),rasa,tikta,katu,Vata+Kapha,Pitta-,Stomach,Summer
Spinach and potato (Palak aloo),Spinach (Palak): sweet,cooling,sweet,Vata & Kapha,Pitta,leafy greens,cool season
Mooli bhujia,rasa,Tikta,Katu,Vaatakaphahara,Vata-Kapha Prakopaka,Antarang,Rainy Season
Bathua bhujia,,,,,,,
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),,,,,,,
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),,,,,,,
Dry arbi (Sookhi arbi),rasa,tikta,katu,vata,kapha,antakarana,winter
Masala arbi,,,,,,,
Peas brinjal bhartha (Matar baingan bhartha),rasa,tikta,madhura,katu,rajas,stomach,autumn
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),,,,,,,
Crispy okra/Crispy lady's fingers (Karare bhindi),Rasa: Tikta (Bitter),Virya: Usna (Hot),Vipaka: Katu (Pungent),aggravates_dosha: Kapha,pacifies_dosha: Kapha,region: Abhishyandiya (Abdomen & chest),season: Sharad Ritu (Autumn)
Beans foogath,rasa,Katu,Vipak,Kapha,Pitta,Vegetables,Summer
Stuffed bittergourd (wet) (Bharwa karele),,,,,,,
Jackfruit/Kathal (dry),sweet,heating,sweet,increases Kapha and Pitta,reduces Vata,ripe fruit - tropical regions,summer
Yam fried (Zimikand/Suran fried),rasa,tikta,madhur,aggravates_kapha,pacifies_vata,root,winter
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",,,,,,,
Vegetable jalfrezi,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,abdomen,all_seasons
Vegetables stir fry ,rasa,tikta,katu,Aggravates_Kapha,Pacifies_Pitta,Digestive,All_Seasons
Broccoli delight,Kapha,Cooling,Sweet,Vatta,Pitta,Heavy,Winter
Dhansak (vegetarian),rasa,madhura,tikta,aggravates_vata,kapha_pacifies,abdomen,winter
Cauliflower basket,Katu,Ruksha,Madhura,Kapha,Pitta,Antarangam,Winter
Stuffed bottle gourd (Stuffed ghiya/lauki),Sweet,cooling,sweet,increases Kapha,decreases Pitta,abdomen,autumn
Ducheese potato,rasa,tikta,katu,Vata,Kapha,Stomach,Winter
Roast potatoes ,sweet,heating,sweet,vata+,kapha-,stomach,autumn-winter
Stuffed baked potatoes ,rasa,tikta,madhura,aggravates_vata,pacifies_kapha,stomach,autumn
Potato nests,sweet,cooling,sweet,vata&kapha,pitta,root,autumn
Parsley potato,,,,,,,
Creamed spinach and mushroom,rasa,Madhura (sweet),Sheeta (cold),Kapha,Pitta,Reduced,Winter
Fricassee of Mushroom,,,,,,,
Cauliflower au gratin,sweet,heating,sweet,vata,kapha,head,winter
Vegetable and cheese pie,rasa,Tikta(bitter),Usna(hot),Vata,Pitta,Balance,Winter
Spinach souffle ,rasa,Katu,Madhur,Aggravates_Kapha,Pacifies_Vata,Abdomen,Winter
Beetroot and egg salad (Chukandar aur ande ka salad),,,,,,,
Sour cream potato salad,sour,katu,madhur,Vata+Pitta++Kapha-,Kapha+Vatta-,Summer,All Seasons
Tossed green salad,,,,,,,
Spring basket salad,sweet,cooling,sweet,Pitta,Kapha,Abdomen,Spring
Cucumber and yogurt salad (Kheere aur dahi ka salad),,,,,,,
Chicken and tomato towers,,,,,,,
Jellied sunshine fruit salad,sweet,heating,sweet,Pitta,Kapha,Sweet,Summer
Tomato aspic,Katu,Usna,Madhura,Pitta,Kapha,Rakta,Sharad-Rtu
Frozen frosty fruit salad (Phalon ka salaad),sweet,cold,sweet,Vata,Kapha,Cooling,Summer
French dressing,Katu,Tikta,Madhura,Vata+Pitta+Kapha-,Pitta+Kapha++,Head,Summer
Mayonnaise without eggs,Rasa: Katu (Sour-Pungent),Virya: Ushna (Hot),Vipaka: Katu (Undergoes pungent taste conversion),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Abdomen,season: Summer
Curd dressing ,sweet,cooling,sweet,Kapha,Pitta,Abdomen,Summer
Carrot raita (Gajar ka raita),sweet,cool,sweet,increases Kapha,decreases Vata & Pitta,digestive,summer
Pumpkin raita (Kaddu ka raita),sweet,cooling,sweet,vata+,kapha-,stomach,autumn
Mint and peanut raita (Pudinay aur moongfali ka raita),,,,,,,
Spinach raita (Palak ka raita),,,,,,,
Bathua raita,,,,,,,
Pineapple raita (Ananas ka raita),,,,,,,
Banana raita (Kele ka raita),sweet,cooling,sweet,increases Kapha,decreases Vata,stomach,summer
Mango raita (Aam ka raita),sweet,cooling,sweet,Vata+Pitta-,Balances Kapha,Digestive,Summer
Guava raita (Amarood ka raita),rasa,tikta,katu,aggravates_kapha,pacifies_pitta,stomach,summer
Grapes raita (Angoor ka raita),sweet,cooling,sweet,Vata & Kapha,Pitta,Digestive system,Summer
Bottle gourd kheer (Ghiya/Lauki kheer),,,,,,,
Pumpkin kheer (Kaddu ki kheer),sweets,slightly cooling,sweet,Vata,Pitta,Stomach,Autumn
Apple kheer (Seb ki kheer),Sweet,Cooling,Sweet,Vata & Pitta,Balances Kapha,Digestive,Autumn
Caramel custard (baked),sweet,slanakara (neutral),madhura (sweet),Kapha,Balances Vata and Pitta,Abdomen,Winter
Vanilla ice cream without egg,Sweet,Cooling,Sweet,Increases Kapha,Reduces Pitta,Oral cavity,Summer
Vanilla ice cream with egg,sweet,cooling,sweet,Vata & Kapha,Pitta,Sweet,Summer
Strawberry ice cream,sweet,cooling,sweet,Vata & Pitta,Kapha,Head & Heart,Summer
Chocochip ice cream,sweet,cooling,sweet,vata++,kapha+,abdomen,summer
Choconut ice cream,sweet,cooling,sweet,Kapha,Vata,Cold regions,Summer
Pear chocholate sunday,sweet,heating,sweet,Vata,Kapha,Heart,Winter
Chocolate sauce,sweet,heating,sweet,Kapha,Pitta,Throat,Winter
Coffee ice cream,,,,,,,
Coffee pear alaska,,,,,,,
Crunchy butterscotch,Sweet,Hot,Sweet,Vata+Pitta++,Kapha-,Oral Cavity,Autumn
Peach melba ice cream,sweet,cooling,sweet,Vata+Pitta++,Kapha-,Sweet,Summer
Vanilla ice cream with apples in hot cherry sauce,rasa,tikta,madhura,vata,kapha,srotashtaya,summer
Grape and orange whip,,,,,,,
Honey banana cream,Sweet,heating,sweet,increases Kapha,decreases Vata and Pitta,abdomen,summer
Raspberry bavarian cream,,,,,,,
Fruit delight,sweet,heavy,sweet,increases_ Pitta,decreases_Kapha,Abdomen,Summer
Creamy chocolate mousse,sweet,heavy,sweet,Kapha,Vata,Heart,Winter
Cold lemon souffle,,,,,,,
Cold orange souffle,sweet,cooling,sweet,Vata&Kapha,Pitta,Lung&SmallIntestine,Winter
Cold pineapple souffle,sweet,cooling,sour,Vata & Pitta (aggravates),Kapha (pacifies),Digestive,Summer
Cold vanilla souffle,Sweet,cooling,sweet,Vata&Kapha,Pitta,Heart & Lungs,Winter
Cold chocolate souffle,sweet,cooling,sweet,Kapha,Vata,Heart,Winter
Stewed fruit (with pear),sweet,cooling,sweet,increase_kapha,decrease_ Pitta,digestive,autumn
Apricot fool,Sweet,Cooling,Sweet,Vata & Pitta,Balances Kapha,Digestive,Summer
Pavlova,sweets,heating,sweet,vata,pitta,heart,summer
Apple crumb pudding,sweet,cooling,sweet,aggravates-Kapha,pacifies-Pitta,digestive,autumn
Steamed cake with chocolate sauce,,,,,,,
Hot lemon souffle,,,,,,,
Gulab jamun with milk powder,,,,,,,
Chum chum,Sweet,heating,sweet,increases Kapha and Pitta,decreases Vata,digestive system,summer
Dil bahar,,,,,,,
Rasbhari,Sweet,heating,sweet,Pitta,Kapha,Heart,Summer
Rajbogh,,,,,,,
Rasgulla,sweets,sweet,sweet,Kapha,Pitta,Throat,Summer
Rasmalai,sweet,heating,sweet,increases Kapha,decreases Vata,sweet dishes,summer/monsoon
Khoa coconut burfi,sweet,heavy,sweet,increases_Kapha,reduces_Vata,digestive,winter
Danedar burfi,sweet,heating,sweet,Pitta,Kapha,Abdomen,Summer
Semolina burfi (Suji/Rava burfi),,,,,,,
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),sweet,heating,sweet,increases Kapha,reduces Vata and Pitta,digestive,autumn/winter
Khoa ladoo,sweet,heating,sweet,increases Vata & Kapha,reduces Pitta,Sweet dish,Winter/Cold seasons
Wheat and gram flour ladoo (Atta besan ladoo),,,,,,,
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),rasa,tikta,madhura,vata,kapha,stomach,winter
Sesame chickpeas brittle (Til aur channe ki chikki),rasa,tikta,katu,aggravates_Vata,pacifies_Kapha,head,winter
Murmura chikki,Roktam,Tikshna,Madhura,Vatakapha,Pittakapha,Kantha,Winter
Masala onion pakora/pakoda (Pyaaz ke pakode),rasa,Tikta,Ushna,Kapha,Pitta,Mukhya,All seasons
Masala green chilli pakora/pakoda (Hari mirch kay pakode),rasa,katu,tikta,aggravates_kapha,pacifies_vata,Urdhvaanga,Summer
Chicken pakora/pakoda,,,,,,,
Fish pakora/pakoda,rasa,tikta,vipaka,madhura,vatakaphapittarak,Raktamajja Srotas,All Season
Paneer cutlet,sweety,heating,pungent,vata+kapha,pitta-,chest,winter
Sago cutlet/vadas (Sabudana cutlet/vadas),rasa,tikta,madhura,vata,kapha,stomach,summer
Poshtik cutlet,Sweet,heating,sweet,Vata,Kapha,Abdomen,Winter
Egg cutlet (Anda cutlet),rasa,katu,madhura,vata,kapha,Mamsa,All seasons
Minced meat cutlet,,,,,,,
Vegetable samosa,,,,,,,
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),,,,,,,
Masala urad dal vada,,,,,,,
Khaman (dhokla),,,,,,,
Instant dhokla,rita,ushna,madhura,vata,kapha,sarira,vasanta
Tomato ginger chutney (Tamatar adarak ki chutney),rasa,tikta,katu,aggravates_pitta,pacifies_kapha,head,summer
Mint tomato chutney (Pudinay aur tamatar ki chutney),katu,ushna,madhur,Pitta,Kapha,Urdhvaanga,Summer
Coriander chutney (Hare dhaniye ki chutney),,,,,,,
Gooseberry chutney (Amla chutney),,,,,,,
Walnut chutney (Akhrot ki chutney),sweet,heating,sweet,Vata & Pitta,Kapha,Digestive,Autumn
Saunth/Sonth chutney with ginger,rasa,Tikta,Katu,Aggravates_Vata,Pacifies_Kapha,Zatra,Autumn
Gun powder chutney,rasa,pungent,heating,vata,pacifies kapha,digestive tract,hot season
